protein_a,protein_b,interaction_score
FBXW7,MYC,0.999
CLUAP1,IFT52,0.999
NDUFAB1,NDUFA6,0.999
NDUFAB1,NDUFV1,0.999
NDUFAB1,NDUFB1,0.999
MT-ND2,NDUFA11,0.999
MT-ND2,NDUFA6,0.999
NDUFB11,MT-ND4,0.999
NDUFB9,NDUFB8,0.999
NDUFB9,NDUFA5,0.999
NDUFB11,NDUFA13,0.999
NDUFB11,NDUFC2,0.999
NDUFB11,NDUFA12,0.999
NDUFB11,NDUFB8,0.999
NDUFB11,NDUFA6,0.999
NDUFB11,MT-ND5,0.999
NDUFB11,NDUFA5,0.999
NDUFB11,NDUFS4,0.999
NDUFB11,NDUFA7,0.999
NDUFB11,NDUFA1,0.999
NDUFB11,NDUFA11,0.999
NDUFB11,MT-ND1,0.999
NDUFB11,NDUFV1,0.999
NDUFB4,NDUFC2,0.999
NDUFB4,NDUFA13,0.999
NDUFB4,NDUFB5,0.999
NDUFB4,MT-ND4,0.999
NDUFB4,NDUFS4,0.999
NDUFB4,NDUFB7,0.999
NDUFB4,NDUFA11,0.999
NDUFB4,NDUFA1,0.999
NDUFB4,NDUFB9,0.999
NDUFB7,NDUFA1,0.999
NDUFB4,NDUFS3,0.999
NDUFB4,NDUFA12,0.999
NDUFB4,NDUFB2,0.999
NDUFB4,NDUFS6,0.999
NDUFB4,NDUFA6,0.999
NDUFB4,NDUFB11,0.999
NDUFB4,NDUFB8,0.999
NDUFB4,NDUFA5,0.999
NDUFB4,NDUFA9,0.999
NDUFB4,NDUFV3,0.999
NDUFB4,NDUFB10,0.999
NDUFB7,NDUFB6,0.999
NDUFB7,NDUFA10,0.999
NDUFB4,NDUFB3,0.999
NDUFB4,NDUFS2,0.999
NDUFB4,NDUFS5,0.999
NDUFB4,NDUFA2,0.999
NDUFB4,NDUFA8,0.999
NDUFB4,NDUFS8,0.999
NDUFB4,NDUFA10,0.999
NDUFB4,NDUFB6,0.999
NDUFB4,NDUFS7,0.999
NDUFB4,NDUFB1,0.999
NDUFB4,NDUFA7,0.999
NDUFB7,MT-ND1,0.999
NDUFB7,NDUFB9,0.999
NDUFB7,NDUFA3,0.999
NDUFB7,NDUFA11,0.999
NDUFB7,NDUFB11,0.999
NDUFB7,NDUFS6,0.999
NDUFB4,NDUFA3,0.999
NDUFB7,NDUFV3,0.999
NDUFB7,MT-ND2,0.999
NDUFB7,NDUFV1,0.999
NDUFB7,NDUFS3,0.999
NDUFB7,NDUFA5,0.999
NDUFB7,NDUFA6,0.999
NDUFB7,NDUFS4,0.999
NDUFB7,NDUFA7,0.999
NDUFB7,NDUFV2,0.999
NDUFB7,NDUFS1,0.999
NDUFB7,NDUFAB1,0.999
NDUFB7,NDUFS7,0.999
NDUFB7,NDUFS8,0.999
NDUFS8,NDUFS2,0.999
NDUFS8,NDUFA8,0.999
NDUFS8,NDUFB6,0.999
MT-ND2,NDUFV1,0.999
MT-ND2,NDUFA8,0.999
MT-ND2,NDUFS2,0.999
NDUFB7,NDUFA8,0.999
NDUFB7,NDUFA2,0.999
NDUFB7,NDUFS5,0.999
NDUFB7,NDUFS2,0.999
NDUFB7,NDUFB10,0.999
PSMA3,PSMD6,0.999
NDUFB7,NDUFB8,0.999
NDUFB7,NDUFB2,0.999
NDUFB7,NDUFA12,0.999
NDUFB7,MT-ND4,0.999
NDUFB7,MT-ND3,0.999
NDUFB7,NDUFB5,0.999
NDUFB7,NDUFA13,0.999
NDUFB7,NDUFC2,0.999
NDUFB7,NDUFB3,0.999
NDUFA13,NDUFA6,0.999
NDUFA13,NDUFAB1,0.999
NDUFV3,NDUFA11,0.999
NDUFV3,NDUFA1,0.999
LEP,LEPR,0.999
NDUFS8,NDUFS5,0.999
MT-ND2,NDUFB3,0.999
MT-ND2,NDUFS1,0.999
MT-ND2,NDUFAB1,0.999
MT-ND2,MT-ND3,0.999
NDUFA13,NDUFV1,0.999
NDUFB7,NDUFA9,0.999
NDUFB7,MT-ND5,0.999
GCK,GCKR,0.999
NDUFB11,NDUFB9,0.999
NDUFV2,NDUFS1,0.999
NDUFB11,NDUFV3,0.999
NDUFB11,NDUFA8,0.999
NDUFB11,NDUFS5,0.999
NDUFB11,NDUFS2,0.999
NDUFB11,NDUFB6,0.999
NDUFB11,NDUFS8,0.999
NDUFB11,NDUFB1,0.999
NDUFB9,MT-ND5,0.999
NDUFS8,NDUFV2,0.999
NDUFS8,NDUFAB1,0.999
NDUFS8,NDUFS1,0.999
NDUFS8,NDUFA13,0.999
NDUFS8,MT-ND4,0.999
NDUFS8,MT-ND3,0.999
NDUFS8,NDUFA12,0.999
NDUFS8,NDUFA6,0.999
RPTOR,MTOR,0.999
MT-ND3,NDUFS2,0.999
MT-ND4L,MT-ND5,0.999
NDUFB9,NDUFA12,0.999
NDUFB9,NDUFB2,0.999
NDUFB9,NDUFC2,0.999
NDUFB9,NDUFA13,0.999
NDUFB9,MT-ND3,0.999
NDUFB9,MT-ND4,0.999
NDUFB9,NDUFS1,0.999
NDUFB9,NDUFAB1,0.999
NDUFB9,NDUFV2,0.999
NDUFB9,NDUFB3,0.999
NDUFB9,NDUFS8,0.999
NDUFB9,NDUFB6,0.999
NDUFS6,NDUFA7,0.999
CCND1,CDKN1B,0.999
NDUFB2,NDUFAB1,0.999
NDUFB2,NDUFA6,0.999
MT-ND3,NDUFA5,0.999
MT-ND3,NDUFA8,0.999
IRS1,IGF1R,0.999
IRS1,INS,0.999
TNIP1,TNFAIP3,0.999
NDUFS2,NDUFA1,0.999
NDUFS2,NDUFA3,0.999
NDUFS2,NDUFV1,0.999
IRS1,PIK3R1,0.999
MT-ND3,NDUFV1,0.999
MT-ND3,NDUFA3,0.999
MT-ND3,NDUFA13,0.999
MT-ND3,NDUFB3,0.999
MT-ND3,NDUFS1,0.999
MT-ND3,NDUFAB1,0.999
MT-ND3,NDUFA6,0.999
NDUFA5,NDUFA6,0.999
NDUFS6,NDUFS4,0.999
NDUFV2,NDUFC1,0.999
NDUFV2,NDUFAB1,0.999
NDUFS6,NDUFS5,0.999
NDUFS6,NDUFA8,0.999
NDUFS6,NDUFC2,0.999
NDUFS6,NDUFA13,0.999
NDUFS6,NDUFAB1,0.999
NDUFS6,NDUFS1,0.999
NDUFS6,NDUFB9,0.999
PSAT1,PHGDH,0.999
NDUFS6,NDUFA12,0.999
NDUFS7,NDUFC2,0.999
NDUFS7,MT-ND4,0.999
NDUFA3,NDUFV1,0.999
NDUFA3,NDUFA6,0.999
NDUFA3,NDUFC1,0.999
NDUFA3,NDUFAB1,0.999
NDUFA3,NDUFA13,0.999
ROBO2,SLIT2,0.999
NDUFA5,NDUFA13,0.999
NDUFA5,NDUFAB1,0.999
NDUFA5,NDUFC1,0.999
NDUFS2,NDUFB6,0.999
NDUFS2,NDUFA11,0.999
MT-ND4L,NDUFAB1,0.999
NDUFS2,NDUFS1,0.999
NDUFS2,NDUFAB1,0.999
NDUFS2,NDUFB3,0.999
NDUFS2,NDUFA13,0.999
IL13,IL13RA1,0.999
CDKN1B,CCND2,0.999
NDUFS7,NDUFA5,0.999
NDUFS7,NDUFA9,0.999
NDUFS7,MT-ND5,0.999
NDUFS7,NDUFA12,0.999
NDUFS7,NDUFB5,0.999
NDUFS7,NDUFA13,0.999
INSR,INS,0.999
INSR,IRS2,0.999
INSR,IRS1,0.999
NDUFA7,NDUFA5,0.999
NDUFA7,NDUFC1,0.999
NDUFA7,NDUFV2,0.999
NDUFA7,NDUFS1,0.999
NDUFA7,NDUFAB1,0.999
NDUFS2,NDUFA5,0.999
NDUFS2,NDUFA6,0.999
RBPJ,MAML2,0.999
RBPJ,MAML3,0.999
NDUFA4,NDUFA6,0.999
NDUFS7,NDUFB8,0.999
NDUFS7,NDUFV1,0.999
NDUFS7,NDUFS3,0.999
NDUFS7,MT-ND1,0.999
NDUFS7,MT-ND2,0.999
NDUFS7,NDUFA7,0.999
NDUFS7,NDUFAF3,0.999
NDUFS7,NDUFS4,0.999
NDUFS7,NDUFS5,0.999
NDUFS7,NDUFS2,0.999
NDUFS7,NDUFA8,0.999
NDUFS6,NDUFA3,0.999
NDUFS6,NDUFV1,0.999
NDUFS6,MT-ND1,0.999
NDUFS6,MT-ND2,0.999
NDUFS6,NDUFA11,0.999
NDUFS6,NDUFA1,0.999
NDUFS6,NDUFS8,0.999
NDUFS6,NDUFB6,0.999
NDUFS6,NDUFV3,0.999
NDUFS6,NDUFS2,0.999
NDUFB9,NDUFV3,0.999
NDUFB9,NDUFS2,0.999
NDUFB9,NDUFS5,0.999
NDUFB9,NDUFA8,0.999
NDUFB9,NDUFA3,0.999
RAMP3,CALCR,0.999
NDUFS8,NDUFV1,0.999
NDUFS8,MT-ND4L,0.999
NDUFS8,MT-ND1,0.999
NDUFS8,MT-ND2,0.999
NDUFS8,NDUFV3,0.999
NDUFS7,MT-ND3,0.999
NDUFS7,NDUFV2,0.999
NDUFS7,NDUFS1,0.999
NDUFS7,NDUFAB1,0.999
NDUFS7,NDUFB3,0.999
NDUFS7,NDUFB11,0.999
NDUFS7,NDUFS6,0.999
NDUFS7,NDUFA6,0.999
NDUFA7,NDUFA1,0.999
NDUFA7,NDUFA11,0.999
NDUFA7,NDUFA3,0.999
NDUFA7,NDUFV1,0.999
NDUFS7,NDUFA11,0.999
NDUFS7,NDUFA1,0.999
NDUFS7,NDUFA10,0.999
NDUFS7,NDUFS8,0.999
NDUFS7,NDUFAF4,0.999
NDUFS7,NDUFB6,0.999
NDUFS7,NDUFV3,0.999
NDUFS7,NDUFB10,0.999
NDUFS7,NDUFA2,0.999
NDUFA5,NDUFA3,0.999
NDUFB3,NDUFC1,0.999
NDUFB3,NDUFAB1,0.999
NDUFB3,NDUFA13,0.999
NDUFB3,NDUFB2,0.999
NDUFB3,NDUFA6,0.999
NDUFA7,NDUFB3,0.999
NDUFA7,NDUFA13,0.999
NDUFA7,NDUFV3,0.999
NDUFA7,NDUFS2,0.999
NDUFA7,NDUFS5,0.999
NDUFA7,NDUFA8,0.999
NDUFS2,NDUFS5,0.999
NDUFS2,NDUFA8,0.999
NDUFA2,NDUFS8,0.999
NDUFA2,NDUFB1,0.999
NDUFB3,NDUFV1,0.999
MT-ND4L,MT-ND2,0.999
MT-ND4L,MT-ND3,0.999
MT-ND4L,MT-ND4,0.999
MT-ND4L,NDUFV1,0.999
MT-ND4L,NDUFS2,0.999
MT-ND4L,NDUFA5,0.999
MAPK8IP1,MAP2K7,0.999
NDUFS7,NDUFB9,0.999
NDUFS7,NDUFA3,0.999
NDUFA5,NDUFV1,0.999
NDUFA2,NDUFB6,0.999
NDUFA2,NDUFA7,0.999
NDUFA2,NDUFA1,0.999
NDUFA2,NDUFA11,0.999
NDUFB8,NDUFV3,0.999
NDUFB8,MT-ND2,0.999
NDUFB8,NDUFA3,0.999
NDUFB8,MT-ND1,0.999
NDUFB8,NDUFV1,0.999
NDUFB8,NDUFA1,0.999
NDUFA7,NDUFA12,0.999
NDUFA7,NDUFB2,0.999
NDUFA7,NDUFA6,0.999
NDUFA2,NDUFA10,0.999
NDUFB9,NDUFV1,0.999
NDUFB9,MT-ND1,0.999
NDUFB9,MT-ND2,0.999
NDUFB9,NDUFA7,0.999
NDUFB9,NDUFS4,0.999
NDUFB9,NDUFA11,0.999
NDUFB9,NDUFA6,0.999
NDUFS6,MT-ND3,0.999
NDUFS6,MT-ND4,0.999
NDUFS6,NDUFC1,0.999
NDUFS6,NDUFV2,0.999
NDUFB10,NDUFC2,0.999
NDUFB10,NDUFB3,0.999
NDUFS6,NDUFB3,0.999
NDUFS6,NDUFA6,0.999
NDUFS6,NDUFB11,0.999
NDUFA2,MT-ND4,0.999
NDUFA2,NDUFA4,0.999
NDUFA2,MT-ND3,0.999
NDUFS8,NDUFB3,0.999
NDUFA7,NDUFS8,0.999
NDUFA7,NDUFB6,0.999
NDUFB8,NDUFS5,0.999
NDUFB8,NDUFS2,0.999
NDUFB8,NDUFA8,0.999
NDUFB3,NDUFA3,0.999
NDUFB3,NDUFB1,0.999
ESR1,IGF1R,0.999
NDUFB3,NDUFA5,0.999
NDUFA2,NDUFS2,0.999
NDUFB8,NDUFB2,0.999
NDUFB8,NDUFA13,0.999
NDUFB8,MT-ND3,0.999
NDUFB8,MT-ND4,0.999
NDUFB8,NDUFV2,0.999
NDUFB8,NDUFAB1,0.999
NDUFB8,NDUFS1,0.999
NDUFB8,NDUFB3,0.999
NDUFA2,NDUFS3,0.999
NDUFA2,MT-ND1,0.999
NDUFA2,NDUFV1,0.999
NDUFA2,NDUFB9,0.999
NDUFA2,NDUFA3,0.999
